game_date,team_home,team_away,most_common_total_line,average_total_line,most_common_moneyline_home,average_moneyline_home,most_common_moneyline_away,average_moneyline_away,most_common_spread_home,average_spread_home,most_common_spread_away,average_spread_away,average_total_over_money,average_total_under_money,most_common_total_over_money,most_common_total_under_money,season_year
2025-12-23 00:30:00+00:00,Boston Celtics,Indiana Pacers,225.4999,216.5832,580.0001,445.6924,-439.9999,-341.2307,11.5001,9.8334,-11.4999,-9.8333,,,,,2025
2025-12-23 00:00:00+00:00,Cleveland Cavaliers,Charlotte Hornets,239.4999,229.1666,390.0001,281.6793,-309.9999,-228.6922,9.5001,7.1539,-9.4999,-7.1538,,,,,2025
2025-12-22 03:00:00+00:00,Sacramento Kings,Houston Rockets,222.4999,212.4544,-454.9999,-392.923,615.0001,532.2532,-11.9999,-9.9999,12.0001,10.0001,,,,,2025
2025-12-22 00:00:00+00:00,Minnesota Timberwolves,Milwaukee Bucks,226.4999,217.2916,660.0001,492.2493,-474.9999,-364.3076,12.0001,8.8078,-11.9999,-8.8076,,,,,2025
2025-12-22 00:00:00+00:00,Washington Wizards,San Antonio Spurs,237.4999,227.8332,-749.9999,-559.0769,1300.0001,840.8547,-15.9999,-11.5768,16.0001,11.577,,,,,2025
2025-12-21 23:00:00+00:00,New York Knicks,Miami Heat,235.9999,226.6249,280.0001,213.1747,-229.9999,-180.1538,7.0001,5.3078,-6.9999,-5.3076,,,,,2025
2025-12-21 23:00:00+00:00,Brooklyn Nets,Toronto Raptors,215.9999,207.0832,-137.9999,-103.923,155.0001,120.5178,-3.4999,-2.4615,3.5001,2.4616,,,,,2025
2025-12-21 20:30:00+00:00,Atlanta Hawks,Chicago Bulls,247.9999,237.8461,167.0001,117.2624,-149.9999,-101.4615,4.0001,2.6155,-3.9999,-2.6153,,,,,2025
2025-12-21 03:30:00+00:00,Los Angeles Clippers,Los Angeles Lakers,229.4999,220.2499,-107.9999,-86.9999,126.0001,99.9601,-1.4999,-1.3845,1.5001,1.3847,,,,,2025
2025-12-21 03:00:00+00:00,Sacramento Kings,Portland Trail Blazers,235.4999,227.3076,-144.9999,-101.4615,167.0001,115.9793,-3.9999,-3.1666,4.0001,3.1668,,,,,2025
2025-12-21 02:30:00+00:00,Utah Jazz,Orlando Magic,240.4999,231.2082,-239.9999,-179.5384,300.0001,218.0547,-7.4999,-5.5384,7.5001,5.5385,,,,,2025
2025-12-21 01:30:00+00:00,Golden State Warriors,Phoenix Suns,226.4999,218.3461,235.0001,181.6362,-194.9999,-147.4615,6.0001,4.7501,-5.9999,-4.7499,,,,,2025
2025-12-21 01:00:00+00:00,Memphis Grizzlies,Washington Wizards,233.4999,224.4614,600.0001,499.9747,-439.9999,-367.923,12.0001,9.9232,-11.9999,-9.923,,,,,2025
2025-12-21 00:30:00+00:00,Detroit Pistons,Charlotte Hornets,234.9999,224.7916,500.0001,370.8293,-379.9999,-292.9999,10.5001,7.6155,-10.4999,-7.6153,,,,,2025
2025-12-21 00:00:00+00:00,Toronto Raptors,Boston Celtics,221.4999,212.6666,127.0001,76.7201,-107.9999,-63.4615,2.0001,0.8847,-1.9999,-0.8845,,,,,2025
2025-12-21 00:00:00+00:00,New Orleans Pelicans,Indiana Pacers,235.4999,225.4582,140.0001,109.4839,-122.9999,-91.9999,2.5001,1.9232,-2.4999,-1.923,,,,,2025
2025-12-21 00:00:00+00:00,Philadelphia 76ers,Dallas Mavericks,226.4999,217.3749,112.0001,89.7593,106.0001,49.5755,1.0001,0.9232,-0.9999,-0.923,,,,,2025
2025-12-20 22:00:00+00:00,Denver Nuggets,Houston Rockets,235.4999,226.6153,-101.9999,-57.3845,115.0001,118.3762,-1.4999,-1.3076,1.5001,1.3078,,,,,2025
2025-12-20 02:30:00+00:00,Minnesota Timberwolves,Oklahoma City Thunder,232.4999,222.9999,-188.9999,-183.6153,250.0001,222.2855,-5.4999,-6.1538,5.5001,6.1539,,,,,2025
2025-12-20 00:30:00+00:00,Cleveland Cavaliers,Chicago Bulls,237.4999,228.4999,170.0001,144.3416,-149.9999,-125.5384,4.5001,3.577,-4.4999,-3.5768,,,,,2025
2025-12-20 00:30:00+00:00,Atlanta Hawks,San Antonio Spurs,237.9999,228.5832,-139.9999,-111.2307,163.0001,127.7147,-3.4999,-2.6153,3.5001,2.6155,,,,,2025
2025-12-20 00:00:00+00:00,New York Knicks,Philadelphia 76ers,230.4999,221.9999,250.0001,203.9232,-204.9999,-169.4615,6.5001,4.4232,-6.4999,-4.423,,,,,2025
2025-12-20 00:00:00+00:00,Boston Celtics,Miami Heat,232.9999,223.9999,300.0001,247.6155,-244.9999,-205.1538,7.5001,6.0385,-7.4999,-6.0384,,,,,2025
